id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
fVbUVAiLiGgLA_nxBFxyww,thursday-kitchen-new-york,Thursday Kitchen,https://s3-media2.fl.yelpcdn.com/bphoto/rNxrGdNWsrbivc0O1z2YXQ/o.jpg,False,https://www.yelp.com/biz/thursday-kitchen-new-york?adjust_creative=4OloIt1kPZ2nt6Pu4NdkDA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=4OloIt1kPZ2nt6Pu4NdkDA,1772,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",4.5,"{'latitude': 40.72761, 'longitude': -73.98373}","['delivery', 'pickup']",$$,"{'address1': '424 E 9th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10009', 'country': 'US', 'state': 'NY', 'display_address': ['424 E 9th St', 'New York, NY 10009']}",,,2606.2864679081063
MGd6HFEq1ALD58XWNviSXw,time-out-market-new-york-brooklyn,Time Out Market New York,https://s3-media3.fl.yelpcdn.com/bphoto/i6bEoMOoX4cRqgvic8eg6w/o.jpg,False,https://www.yelp.com/biz/time-out-market-new-york-brooklyn?adjust_creative=4OloIt1kPZ2nt6Pu4NdkDA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=4OloIt1kPZ2nt6Pu4NdkDA,516,"[{'alias': 'food_court', 'title': 'Food Court'}]",4.0,"{'latitude': 40.70342863348067, 'longitude': -73.99214637055226}",[],$$,"{'address1': '55 Water St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['55 Water St', 'Brooklyn, NY 11201']}",+19178104855,(917) 810-4855,295.3631463249398
nMyot99PkX5iYCdxHoRJqQ,ariari-new-york,ARIARI,https://s3-media1.fl.yelpcdn.com/bphoto/IQbVjJaYnvf1QZlgocL1Bw/o.jpg,False,https://www.yelp.com/biz/ariari-new-york?adjust_creative=4OloIt1kPZ2nt6Pu4NdkDA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=4OloIt1kPZ2nt6Pu4NdkDA,197,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}]",4.5,"{'latitude': 40.727283504010266, 'longitude': -73.9858313}",[],,"{'address1': '119 1st Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['119 1st Ave', 'New York, NY 10003']}",+16464227466,(646) 422-7466,2519.475579976464
IA3EQ0Ilx0yI7dNYnq-YGQ,salma-new-york,Salma,https://s3-media4.fl.yelpcdn.com/bphoto/1HF8xHpI--UJihYiycSEkg/o.jpg,False,https://www.yelp.com/biz/salma-new-york?adjust_creative=4OloIt1kPZ2nt6Pu4NdkDA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=4OloIt1kPZ2nt6Pu4NdkDA,167,"[{'alias': 'lebanese', 'title': 'Lebanese'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.5,"{'latitude': 40.730369942268375, 'longitude': -73.9837222575225}","['delivery', 'pickup']",$$,"{'address1': '351 E 12th St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['351 E 12th St', 'New York, NY 10003']}",+19172614900,(917) 261-4900,2899.804038855738
hLXe3RVRK39VUSPdvBjFEA,kalye-new-york,Kalye,https://s3-media3.fl.yelpcdn.com/bphoto/7iAlnjzSOebk2p0w2LB3Vg/o.jpg,False,https://www.yelp.com/biz/kalye-new-york?adjust_creative=4OloIt1kPZ2nt6Pu4NdkDA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=4OloIt1kPZ2nt6Pu4NdkDA,96,"[{'alias': 'filipino', 'title': 'Filipino'}]",4.5,"{'latitude': 40.7179, 'longitude': -73.98999}","['delivery', 'pickup']",$$,"{'address1': '251 Broome St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['251 Broome St', 'New York, NY 10002']}",+16464227267,(646) 422-7267,1421.2220116212713
FlZ1zdVEKWv7dwqm8Uw8-w,raku-new-york-7,Raku,https://s3-media4.fl.yelpcdn.com/bphoto/GEbZnH1jR4n7D5WOJ3urPg/o.jpg,False,https://www.yelp.com/biz/raku-new-york-7?adjust_creative=4OloIt1kPZ2nt6Pu4NdkDA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=4OloIt1kPZ2nt6Pu4NdkDA,1562,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'noodles', 'title': 'Noodles'}]",4.5,"{'latitude': 40.7264988089246, 'longitude': -73.9866526052356}","['delivery', 'pickup']",$$,"{'address1': '342 E 6th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['342 E 6th St', 'New York, NY 10003']}",+12122281324,(212) 228-1324,2416.6027147072045
WJS06XxRdc6DD1s4LWE9HA,fish-cheeks-new-york,Fish Cheeks,https://s3-media2.fl.yelpcdn.com/bphoto/pqupe3fe52869QQ23KkiBg/o.jpg,False,https://www.yelp.com/biz/fish-cheeks-new-york?adjust_creative=4OloIt1kPZ2nt6Pu4NdkDA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=4OloIt1kPZ2nt6Pu4NdkDA,1384,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'thai', 'title': 'Thai'}, {'alias': 'raw_food', 'title': 'Live/Raw Food'}]",4.5,"{'latitude': 40.7258, 'longitude': -73.9927}","['delivery', 'pickup']",$$,"{'address1': '55 Bond St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['55 Bond St', 'New York, NY 10012']}",+12126772223,(212) 677-2223,2242.4252176048417
9I8mZXCkGZBmFh5fYOYorw,em-vietnamese-bistro-brooklyn,Em Vietnamese Bistro,https://s3-media1.fl.yelpcdn.com/bphoto/xEGNtQssJsP4WmLP6p69kg/o.jpg,False,https://www.yelp.com/biz/em-vietnamese-bistro-brooklyn?adjust_creative=4OloIt1kPZ2nt6Pu4NdkDA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=4OloIt1kPZ2nt6Pu4NdkDA,161,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.5,"{'latitude': 40.702670064808366, 'longitude': -73.99118578021728}","['delivery', 'pickup']",$$,"{'address1': '57 Front St', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['57 Front St', 'Brooklyn, NY 11201']}",+17188757888,(718) 875-7888,411.72273431664553
qEe7nIhPfEL6L0-VYhWRrA,raku-new-york-6,Raku,https://s3-media2.fl.yelpcdn.com/bphoto/F27q2Tq72amfU1iyq1AOyg/o.jpg,False,https://www.yelp.com/biz/raku-new-york-6?adjust_creative=4OloIt1kPZ2nt6Pu4NdkDA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=4OloIt1kPZ2nt6Pu4NdkDA,904,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'noodles', 'title': 'Noodles'}]",4.5,"{'latitude': 40.72728, 'longitude': -74.00252}","['delivery', 'pickup']",$$,"{'address1': '48 Macdougal St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['48 Macdougal St', 'New York, NY 10012']}",+12129894797,(212) 989-4797,2512.233036555826
-XYp6w50XbZfS90YddS5ew,soothr-new-york-2,Soothr,https://s3-media2.fl.yelpcdn.com/bphoto/HxjVE7K_dsQW0cXWKBgeSQ/o.jpg,False,https://www.yelp.com/biz/soothr-new-york-2?adjust_creative=4OloIt1kPZ2nt6Pu4NdkDA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=4OloIt1kPZ2nt6Pu4NdkDA,1110,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"{'latitude': 40.732259, 'longitude': -73.987363}","['delivery', 'pickup']",$$,"{'address1': '204 E 13th St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['204 E 13th St', 'New York, NY 10003']}",+12128449789,(212) 844-9789,3031.818788296325
nHMDOIX32dGbfpuNUwsLNQ,almar-brooklyn-2,AlMar,https://s3-media2.fl.yelpcdn.com/bphoto/T55OZs46PGolthDw3ezdCA/o.jpg,False,https://www.yelp.com/biz/almar-brooklyn-2?adjust_creative=4OloIt1kPZ2nt6Pu4NdkDA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=4OloIt1kPZ2nt6Pu4NdkDA,497,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,"{'latitude': 40.702662, 'longitude': -73.989177}","['delivery', 'pickup']",$$,"{'address1': '111 Front St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['111 Front St', 'Brooklyn, NY 11201']}",+17188555288,(718) 855-5288,535.3684445640382
4aF0F8w7yXX9o5_QFky_ig,celestine-brooklyn,Celestine,https://s3-media3.fl.yelpcdn.com/bphoto/p98BTWB9IIb4RQyDQw13ZQ/o.jpg,False,https://www.yelp.com/biz/celestine-brooklyn?adjust_creative=4OloIt1kPZ2nt6Pu4NdkDA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=4OloIt1kPZ2nt6Pu4NdkDA,292,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'bars', 'title': 'Bars'}]",4.0,"{'latitude': 40.704676, 'longitude': -73.987975}",['delivery'],$$$,"{'address1': '1 John St', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['1 John St', 'Brooklyn, NY 11201']}",+17185225356,(718) 522-5356,538.8101166249323
SWK0AQ5KTDDCt8AtOhhasg,malibu-farm-new-york-new-york-2,Malibu Farm New York,https://s3-media4.fl.yelpcdn.com/bphoto/CoIm4zQC690JynEdjiQ9rw/o.jpg,False,https://www.yelp.com/biz/malibu-farm-new-york-new-york-2?adjust_creative=4OloIt1kPZ2nt6Pu4NdkDA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=4OloIt1kPZ2nt6Pu4NdkDA,369,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}]",4.0,"{'latitude': 40.705644, 'longitude': -74.00188}","['delivery', 'pickup']",$$,"{'address1': '89 South St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10038', 'country': 'US', 'state': 'NY', 'display_address': ['89 South St', 'New York, NY 10038']}",+12122653030,(212) 265-3030,622.1114386897955
Me4TxTbPPQZQopW1wOGx5g,jacks-wife-freda-new-york,Jack's Wife Freda,https://s3-media3.fl.yelpcdn.com/bphoto/X2MCZNODuHziml3lGw98zw/o.jpg,False,https://www.yelp.com/biz/jacks-wife-freda-new-york?adjust_creative=4OloIt1kPZ2nt6Pu4NdkDA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=4OloIt1kPZ2nt6Pu4NdkDA,2417,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'newamerican', 'title': 'American (New)'}]",4.0,"{'latitude': 40.7221323, 'longitude': -73.9975402}","['delivery', 'pickup']",$$,"{'address1': '226 Lafayette St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['226 Lafayette St', 'New York, NY 10012']}",+12125108550,(212) 510-8550,1864.9516899375944
